date,time,venue,lat,lng,attendance
2015-09-05,18:00,ut_football,30.2836,-97.7320,98000
2016-10-08,19:00,ut_football,30.2836,-97.7320,99000
2017-09-16,18:30,ut_football,30.2836,-97.7320,100119
2018-10-13,14:30,ut_football,30.2836,-97.7320,97500
2019-09-07,18:00,ut_football,30.2836,-97.7320,99500
2016-10-01,12:00,acl_live,30.2639,-97.7467,75000
2017-10-07,12:00,acl_live,30.2639,-97.7467,75000
2018-10-06,12:00,acl_live,30.2639,-97.7467,75000
2019-10-05,12:00,acl_live,30.2639,-97.7467,75000
2015-10-25,13:00,convention,30.2628,-97.7402,113000
2016-10-23,13:00,convention,30.2628,-97.7402,110000
2017-10-22,13:00,convention,30.2628,-97.7402,108000
2018-11-04,13:00,convention,30.2628,-97.7402,105000
2019-11-03,13:00,convention,30.2628,-97.7402,107000
2016-04-15,20:00,moody_center,30.2850,-97.7280,15000
2017-05-20,20:00,moody_center,30.2850,-97.7280,14500
2018-06-09,20:00,moody_center,30.2850,-97.7280,15000
2019-07-13,20:00,moody_center,30.2850,-97.7280,14000
2016-03-18,21:00,stubbs,30.2680,-97.7336,2200
2017-03-17,21:00,stubbs,30.2680,-97.7336,2100
2018-03-16,21:00,stubbs,30.2680,-97.7336,2200
2019-03-15,21:00,acl_live,30.2639,-97.7467,2750
