hour,day_of_week,is_weekend,month,weather_code,temperature_f,precipitation_in,dist_downtown_km,nearby_event_attendance,base_pattern,seasonal_level,road_class,congestion_pct,_segment_id
23,1,0,12,1,52.4,0.0,3.139,0.0,3.168,3.168,primary,35.7,seg_001288
23,1,0,12,1,52.4,0.0,3.139,0.0,3.168,3.168,primary,26.7,seg_001288
23,1,0,12,1,52.4,0.0,1.157,0.0,3.469,3.469,primary,9.8,seg_001532
23,1,0,12,1,52.4,0.0,12.26,0.0,3.082,3.082,motorway,7.8,seg_000176
23,1,0,12,1,52.4,0.0,3.139,0.0,3.52,3.52,primary,21.4,seg_001288
23,1,0,12,1,52.4,0.0,3.139,0.0,3.52,3.52,primary,20.0,seg_001288
23,1,0,12,1,52.4,0.0,1.245,0.0,3.84,3.84,primary,15.6,seg_001378
23,1,0,12,1,52.4,0.0,1.245,0.0,4.224,4.224,primary,0.0,seg_001378
23,1,0,12,1,52.4,0.0,8.579,0.0,2.862,2.862,primary,13.6,seg_001649
23,1,0,12,1,52.4,0.0,3.139,0.0,3.872,3.872,primary,26.7,seg_001288
23,1,0,12,1,52.4,0.0,1.245,0.0,4.224,4.224,primary,0.0,seg_001378
23,1,0,12,1,52.4,0.0,1.245,0.0,4.224,4.224,primary,12.5,seg_001378
23,1,0,12,1,52.4,0.0,8.579,0.0,2.862,2.862,primary,0.0,seg_001649
23,1,0,12,1,52.4,0.0,9.913,0.0,3.487,3.487,trunk,0.0,seg_001874
23,1,0,12,1,52.4,0.0,1.245,0.0,4.608,4.608,primary,0.0,seg_001378
23,1,0,12,1,52.4,0.0,1.245,0.0,4.608,4.608,primary,26.7,seg_001378
23,1,0,12,1,52.4,0.0,1.245,0.0,4.608,4.608,primary,20.6,seg_001378
23,1,0,12,1,52.4,0.0,1.157,0.0,4.626,4.626,primary,10.0,seg_001532
23,1,0,12,1,52.4,0.0,1.157,0.0,4.626,4.626,primary,17.1,seg_001532
23,1,0,12,1,52.4,0.0,1.624,0.0,4.531,4.531,primary,38.1,seg_001387
22,1,0,12,3,53.4,0.0,1.245,0.0,5.146,5.146,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,3.139,0.0,4.717,4.717,primary,13.3,seg_001288
22,1,0,12,3,53.4,0.0,1.245,0.0,5.146,5.146,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,5.146,5.146,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,5.146,5.146,primary,17.2,seg_001378
22,1,0,12,3,53.4,0.0,5.082,0.0,2.852,2.852,secondary,18.2,seg_001392
22,1,0,12,3,53.4,0.0,1.157,0.0,5.165,5.165,primary,0.0,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,5.165,5.165,primary,0.0,seg_001532
22,1,0,12,3,53.4,0.0,9.913,0.0,4.247,4.247,trunk,1.8,seg_001874
22,1,0,12,3,53.4,0.0,9.913,0.0,4.247,4.247,trunk,5.7,seg_001874
22,1,0,12,3,53.4,0.0,1.624,0.0,5.588,5.588,primary,5.3,seg_001387
22,1,0,12,3,53.4,0.0,8.579,0.0,3.851,3.851,primary,0.0,seg_001649
22,1,0,12,3,53.4,0.0,8.579,0.0,3.851,3.851,primary,0.0,seg_001649
22,1,0,12,3,53.4,0.0,3.139,0.0,5.21,5.21,primary,28.6,seg_001288
22,1,0,12,3,53.4,0.0,1.245,0.0,5.683,5.683,primary,16.7,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,5.683,5.683,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,9.913,0.0,4.691,4.691,trunk,0.0,seg_001874
22,1,0,12,3,53.4,0.0,1.624,0.0,5.588,5.588,primary,28.6,seg_001387
22,1,0,12,3,53.4,0.0,1.245,0.0,6.221,6.221,primary,16.7,seg_001378
22,1,0,12,3,53.4,0.0,3.139,0.0,5.703,5.703,primary,28.6,seg_001288
22,1,0,12,3,53.4,0.0,1.245,0.0,6.221,6.221,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,6.221,6.221,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,1.157,0.0,6.245,6.245,primary,36.7,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,6.245,6.245,primary,22.9,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,6.245,6.245,primary,0.0,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,6.245,6.245,primary,19.5,seg_001532
22,1,0,12,3,53.4,0.0,9.913,0.0,5.135,5.135,trunk,0.0,seg_001874
22,1,0,12,3,53.4,0.0,1.624,0.0,6.117,6.117,primary,0.0,seg_001387
22,1,0,12,3,53.4,0.0,8.579,0.0,4.58,4.58,primary,0.0,seg_001649
22,1,0,12,3,53.4,0.0,1.245,0.0,6.758,6.758,primary,26.7,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,6.758,6.758,primary,32.4,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,6.758,6.758,primary,6.2,seg_001378
22,1,0,12,3,53.4,0.0,1.245,0.0,6.758,6.758,primary,0.0,seg_001378
22,1,0,12,3,53.4,0.0,1.157,0.0,6.784,6.784,primary,6.7,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,6.784,6.784,primary,14.3,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,6.784,6.784,primary,5.7,seg_001532
22,1,0,12,3,53.4,0.0,1.157,0.0,6.784,6.784,primary,14.6,seg_001532
22,1,0,12,3,53.4,0.0,8.579,0.0,4.58,4.58,primary,0.0,seg_001649
