hour,day_of_week,is_weekend,month,weather_code,temperature_f,precipitation_in,dist_downtown_km,nearby_event_attendance,base_pattern,road_class,congestion_pct
19,4,0,1,51,40.0,0.016,1.245,0.0,18.432,primary,60.6
19,4,0,1,51,40.0,0.016,1.245,0.0,16.896,primary,57.6
19,4,0,1,51,40.0,0.016,1.245,0.0,15.36,primary,63.6
19,4,0,1,51,40.0,0.016,1.245,0.0,15.36,primary,35.5
20,4,0,1,51,40.0,0.008,1.245,0.0,13.824,primary,30.3
20,4,0,1,51,40.0,0.008,1.245,0.0,13.824,primary,35.5
20,4,0,1,51,40.0,0.008,1.245,0.0,12.826,primary,42.4
20,4,0,1,51,40.0,0.008,1.245,0.0,12.826,primary,45.2
20,4,0,1,51,40.0,0.008,1.245,0.0,11.827,primary,45.5
20,4,0,1,51,40.0,0.008,1.245,0.0,11.827,primary,35.5
20,4,0,1,51,40.0,0.008,1.245,0.0,10.829,primary,48.5
21,4,0,1,3,40.0,0.0,1.245,0.0,9.83,primary,42.4
21,4,0,1,3,40.0,0.0,1.245,0.0,9.83,primary,41.9
21,4,0,1,3,40.0,0.0,1.245,0.0,9.062,primary,36.4
21,4,0,1,3,40.0,0.0,1.245,0.0,9.062,primary,25.8
21,4,0,1,3,40.0,0.0,1.245,0.0,8.294,primary,39.4
21,4,0,1,3,40.0,0.0,1.245,0.0,8.294,primary,45.2
21,4,0,1,3,40.0,0.0,1.245,0.0,7.526,primary,42.4
21,4,0,1,3,40.0,0.0,1.245,0.0,7.526,primary,16.1
22,4,0,1,3,40.0,0.0,1.245,0.0,6.758,primary,36.4
22,4,0,1,3,40.0,0.0,1.245,0.0,6.758,primary,29.0
22,4,0,1,3,40.0,0.0,1.245,0.0,6.221,primary,39.4
22,4,0,1,3,40.0,0.0,1.245,0.0,6.221,primary,32.3
22,4,0,1,3,40.0,0.0,1.245,0.0,5.683,primary,30.3
22,4,0,1,3,40.0,0.0,1.245,0.0,5.683,primary,29.0
22,4,0,1,3,40.0,0.0,1.245,0.0,5.146,primary,69.7
22,4,0,1,3,40.0,0.0,1.245,0.0,5.146,primary,35.5
23,4,0,1,3,40.1,0.0,1.245,0.0,4.608,primary,30.3
23,4,0,1,3,40.1,0.0,1.245,0.0,4.608,primary,54.8
23,4,0,1,3,40.1,0.0,1.245,0.0,4.224,primary,33.3
23,4,0,1,3,40.1,0.0,1.245,0.0,4.224,primary,41.9
23,4,0,1,3,40.1,0.0,1.245,0.0,3.84,primary,30.3
23,4,0,1,3,40.1,0.0,1.245,0.0,3.84,primary,58.1
23,4,0,1,3,40.1,0.0,1.245,0.0,3.456,primary,42.4
23,4,0,1,3,40.1,0.0,1.245,0.0,3.456,primary,38.7
0,5,1,1,3,40.1,0.0,1.245,0.0,1.997,primary,72.7
